,_id,url,title,description,keywords,topic,field used for the classification,comments,DISCUSSED,TO BE DECIDED
565,the-view-from,https://lod-cloud.net/dataset/the-view-from,The View From,A set of data about photos of the view from various places,format-dc; format-rdf; geographic; lod; lodcloud.unconnected; no-deref-vocab; photo; photography; published-by-third-party; tourism; usergeneratedcontent; void-sparql-endpoint,cultural heritage,natural heritage connected to view from various places. inaccessible resource,,,
1473,wl-kg000001922006f4ea,https://lod-cloud.net/dataset/wl-kg,The World Literature Knowledge Graph,Digital media have enabled the access to unprecedented literary knowledge. Authors  readers  and scholars are now able to discover and share an increasing amount of information about books and their authors. However  these sources of knowledge are fragmented and do not adequately represent non-Western writers and their works. In this paper we present The World Literature Knowledge Graph  a semantic resource containing 194   346 writers and 965  210 works  specifically designed for exploring facts about literary works and authors from different parts of the world. The knowledge graph integrates information about the reception of literary works gathered from 3 different communities of readers  aligned according to a single semantic model. The resource is accessible through an online visualization platform  which can be found at the following URL: https://literaturegraph.di.unito.it/3. This platform has been rigorously tested and validated by 3 distinct categories of experts who have found it to be highly beneficial for their respective work domains. These categories include teachers  researchers in the humanities  and professionals in the publishing industry. The feedback received from these experts confirms that they can effectively utilize the platform to enhance their work processes and achieve valuable outcomes.,,cultural heritage,,,,
63,bioportal-thesaurus,https://lod-cloud.net/dataset/bioportal-thesaurus,thesaurus,thesaurus alternativa,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,unclear from title and abstract. unclear why biomedicine among keywords. bioportal as website.,,,
1647,bncf-ns000001932a10400a,https://lod-cloud.net/dataset/bncf-ns,Thesaurus BNCF,Nuovo soggettario (NS)  edited by the National Central Library of Florence  is the Italian subject indexing tool for various types of resources. It has been developed in compliance with the IFLA recommendations  and other international standards in the field of subject indexing. This tool has been created for general and specialized Italian libraries  and for museums  multimedia libraries  archives and documentation centres. The main component of the NS is a general thesaurus available on the web since 2007 (http://thes.bncf.firenze.sbn.it/ricerca.php). The thesaurus comprises nowadays approximately 73.800  terms and it is updated on a regular basis. All metadata can be used  in accordance with Creative Commons Attribution 4.0 licence.,publications; bibliographics; format-rdf; format-skos; library; authorities; linkeddata,cultural heritage,,declared to be regularly updated,,
728,thesaurus-datenwissen,https://lod-cloud.net/dataset/thesaurus-datenwissen,Thesaurus Datenwissen,This service exposes the data from openthesaurus.de as Linked Data.,lod; lodcloud.needsinfo; lodcloud.nolinks; lodcloud.unconnected; no-proprietary-vocab; no-vocab-mappings; publications; published-by-third-party,,is it related to linguistics?,,,
1381,t4gm-info,https://lod-cloud.net/dataset/t4gm-info,Thesaurus for Graphic Materials (t4gm.info),Published in 2009  t4gm.info was a Linked Data rendering in RDFa of the Library of Congress' Thesaurus for Graphic Materials. It is now an early example of [a linked data set that has been permanently removed from the Web][1]  since it has been superceded by the U.S. Library of Congress' own [Thesaurus for Graphic Materials][2]  now provided as part of the Library of Congress's linked data services. t4gm.info was unpublished in 2012.    [This page][3] provides a brief [VoiD][4] description of the t4gm.info dataset and its relationship to the equivalent information at id.loc.gov  expressed in RDFa. In addition  this site provides a specific mapping of resources from t4gm.info to id.loc.gov as [a VoiD linkset][5]. Both the VoiD dataset and linkset descriptions can be retrieved through content negotiation in a variety of linked data formats (i.e.  in either RDF/XML  Turtle  or N-Triples.) GET requests for t4gm.info concept resources are redirected as 301 Moved Permanently to the equivalent resource at id.loc.gov. GET requests for any other resources that were part of the original t4gm.info site are returned as 410 Gone.     [1]: http://patterns.dataincubator.org/book/unpublish.html   [2]: http://id.loc.gov/vocabulary/graphicMaterials.html   [3]: http://www.t4gm.info   [4]: http://www.w3.org/TR/void/   [5]: http://www.t4gm.info/linkset   [6]: http://bradleypallen.org   [7]: http://thedatahub.org/en/dataset/t4gm-info,ckanupload.esw.200910; decommissioned; format-dc; format-rdf; format-skos; library; linkeddata; lld; lod; lodcloud-diagram-2011-09-19; no-proprietary-vocab; no-provenance-metadata; publications; published-by-third-party; rdf; thesaurus,not classified,,it seems to be related to graphic materials,yes,
1627,thesaurus-w,https://lod-cloud.net/dataset/thesaurus-w,Thesaurus W for Local Archives,This dataset includes four authority lists (subject headings  historical contexts  actions and document types) used to describe material in French local archives.,format-rdf; format-skos; lld; lod; no-proprietary-vocab; publications; published-by-producer,cultural heritage,archives in the title ,,,
166,thesesfr,https://lod-cloud.net/dataset/thesesfr,theses.fr,Source : [theses.fr](http://www.theses.fr)    theses.fr is the french dissertations search engine  maintained by ABES      Licensing : not yet  but will be as open as possible    NB : The RDFa of theses.fr is being tested and will be be fixed in next days.,abes; dissertations; format-dc; france; lld; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-proprietary-vocab; provenance-metadata; publications; published-by-producer; rdf; theses,education ,,,,
412,gesis-thesoz,https://lod-cloud.net/dataset/gesis-thesoz,TheSoz Thesaurus for the Social Sciences (GESIS),The Thesaurus for the Social Sciences (Thesaurus Sozialwissenschaften) contains about 12 000 entries  of which more than 8 000 are descriptors (authorised keywords) and about 4 000 non-descriptors. Topics in all of the social science disciplines are included. This SKOS version of the thesaurus uses also SKOS-XL and additionally defined extensions.,deref-vocab; format-dc; format-rdf; format-skos; format-skosxl; germany; library; license-metadata; linkeddata; lld; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; provenance-metadata; publications; published-by-producer; social; socialsciences; thesaurus; vocab-mappings; void-sparql-endpoint,not classified,,,,
238,Thinkphile,https://lod-cloud.net/dataset/Thinkphile,"ThinkPhile (Publisher | Blog , Content ,News , and Media Website)",ThinkPhilecom is an online publishing Blog  Content  News and Media Platform . Helping you realize BIG things for your blog & side-hustle! Served with a complimentary side of snark and a smile.��,Publisher; blog; blogger; content; news; media website; website; news and media,not classified,,,,
311,thist,https://lod-cloud.net/dataset/thist,ThIST,ThIST is the Italian Thesaurus of Sciences of the Earth  which has been exposed as Linked Data in the context of LusTRE  a framework currently under development within the EU project eENVplus (CIP-ICT-PSP grant No. 325232) that aims at combining existing thesauri to support the management of environmental resources. LusTRE considers the heterogeneity in scopes and levels of abstraction of environmental thesauri as an asset when managing environmental data  it exploits linked data best practices SKOS  (Simple Knowledge Organization System) and RDF  (Resource Description Framework) in order to provide a multi-thesauri solution for INSPIRE data themes related to the environment.   The ThIST content is made available by Geological Survey of Italy in ISPRA  (Istituto Superiore per la  Protezione e la Ricerca Ambientale). It is the result of a nearly total revision of the thesaurus born by the integration among the terminological database of the former Library of the Italy Geological Service  and the thesaurus published by the CNR in 1997. ThIST is already used for the cataloguing of the biblio-cartographic material (monographs  articles of periodicals  papers) possessed by the Library and the recovery of the related information.  The ThIST content is made available by ISPRA (Istituto Superiore per la  Protezione e la Ricerca Ambientale). It is the result of a nearly total revision of the thesaurus born by the integration among the terminological database of the former Library of the Italy Geological Service  and the thesaurus published by the CNR in 1997. ThIST is already used for the cataloguing of the biblio-cartographic material (monographs  articles of periodicals  papers) possessed by the Library and the recovery of the related information.,format-skos; geographic; license-metadata; lld; lod; lodcloud-diagram-2014-08-30; no-proprietary-vocab; no-vocab-mappings; provenance-metadata; published-by-third-party; schemata; thesaurus,not classified,,,,
142,bioportal-tads,https://lod-cloud.net/dataset/bioportal-tads,Tick gross anatomy,The anatomy of the Tick  <i>Families: Ixodidae  Argassidae</i>,biomedicine; bioportal; format-obo; format-rdf; lod; ontology; published-by-third-party,health,anatomy in title and abstract,,,
1616,bioportal-teo,https://lod-cloud.net/dataset/bioportal-teo,Time Event Ontology,The Time Event Ontology (TEO) is an ontology for representing events  time  and their relationships.,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,unclear why biomedicine among keywords. biportal as resource,,,
75,tip,https://lod-cloud.net/dataset/tip,TIP,A SPARQL endpoint of Taiwan Indigenous People provides Taiwan Indigenous people information  including 6 major subjects : [Ethnic](http://lod.apc.gov.tw:8890/schemas/Ethnic_Introduction/)  [Culture](http://lod.apc.gov.tw:8890/schemas/Cultural_Creative/)  [Travel](http://lod.apc.gov.tw:8890/schemas/Travel/)  [Gourmet](http://lod.apc.gov.tw:8890/schemas/Gourmet/)  [Ceremony](http://lod.apc.gov.tw:8890/schemas/Ceremony/) and [Business] (http://lod.apc.gov.tw:8890/schemas/Business/).,Indigenous People; Taiwan; aboriginal; government; indigenous; lod,not classified,culture mentioned in the abstract might be related to ch. the resource is not accessible.,,,
1512,bioportal-tok,https://lod-cloud.net/dataset/bioportal-tok,TOK_Ontology,An Ontology describing Resources having different formats. This Ontology can be used to annotate and describe Terminological  Ontological Knowledge resources.,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,unclear from title and abstract. biomedicine among keywords. bioportal as link,,,
322,TOPMODEL0000018e07746bf5,https://lod-cloud.net/dataset/TOPMODEL,Topography based Hydrological Model,TOPMODEL is a physically-based  semi-distributed  variable-source area rainfall-runoff model  and is based on the Topographic Wetness Index (TWI).,Hydrological model; Runoff analysis,not classified,,,,
987,traditional-korean-medicine,https://lod-cloud.net/dataset/traditional-korean-medicine,Traditional Korean Medicine Ontology,"Traditional Korean medicine (Hangul: 한의학  Hanja: 韓醫學) developed with the influence of other traditional medicine. Its techniques in treatment and diagnosis are both similar and unique to other traditional medicine. (Visit Wikipedia  http://en.wikipedia.org/wiki/Traditional_Korean_medicine.)    ""Ontology-based Traditional Korean Medicine Knowledge Framework"" project is systematization of core knowledge of TKM and enhancing the applicability of the knowledge. This project is supported by Korean government and Korea Institute of Oriental Medicine is pursuing this project since 2009.    To achieve this  our group is constructing ontology for TKM  in particular  patient status and medicinal treatment for them. The center is conceptualizing disease  pattern  symptom and medical test result to define patient status and medicinal materials  formulas  acupuncture and moxibustion for treatment method.    For information about terms of traditional medicine in the area of East Asia  read this WHO standard  http://tkm.kiom.re.kr/ontology/doc/WHO-IST.pdf. This paper can be found at http://www.wpro.who.int/publications/PUB_9789290612487.htm. (Last check: Dec. 17th  2009)    As a first step for construction  the center is focusing on medicinal materials including biological materials (plants and animals)  minerals (stone and metal resources).",format-ncbitaxon; lifesciences; linked-data; lod; medicines; no-deref-vocab; no-provenance-metadata; no-vocab-mappings; published-by-producer,health,medicine in title and abstract,,,
747,bioportal-tm-signs-and-sympts,https://lod-cloud.net/dataset/bioportal-tm-signs-and-sympts,Traditional Medicine Signs and Symptoms Value Set,The value set for the Signs and Symptoms property of the International Classification of Traditional Medicine (ICTM).,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,medicine in title and abstract,,,
36,traffic-scotland,https://lod-cloud.net/dataset/traffic-scotland,Traffic Scotland,Data from http://trafficscotland.org converted to RDF regularly. Currently the data is only the current incidents  but hopefully this should expand.,air-transport; format-compass; format-foaf; format-owl; format-rdf; geographic; government; license-metadata; lodcloud-diagram-2011-09-19; no-deref-vocab; published-by-third-party; road-transport; roads; scotland; traffic,not classified - geography,,inaccessible resource,,
839,arrayexpress-e-afmx-1,https://lod-cloud.net/dataset/arrayexpress-e-afmx-1,"Transcription profiling of human, chimp and mouse brain",Microarray technologies allow the identification of large numbers of expression differences within and between species. Although environmental and physiological stimuli are clearly responsible for changes in the expression levels of many genes  it is not known whether the majority of changes of gene expression fixed during evolution between species and between various tissues within a species are caused by Darwinian selection or by stochastic processes. We find the following: (1) expression differences between species accumulate approximately linearly with time; (2) gene expression variation among individuals within a species correlates positively with expression divergence between species; (3) rates of expression divergence between species do not differ significantly between intact genes and expressed pseudogenes; (4) expression differences between brain regions within a species have accumulated approximately linearly with time since these regions emerged during evolution. These results suggest that the majority of expression differences observed between species are selectively neutral or nearly neutral and likely to be of little or no functional significance. Therefore  the identification of gene expression differences between species fixed by selection should be based on null hypotheses assuming functional neutrality. Furthermore  it may be possible to apply a molecular clock based on expression differences to infer the evolutionary history of tissues.,format-efo; format-pobo; format-prov; lifesciences; lod; no-proprietary-vocab; provenance-metadata; published-by-third-party,health,,,,
1306,arrayexpress_e-mtab-104,https://lod-cloud.net/dataset/arrayexpress_e-mtab-104,Transcription profiling of rat bladder after inoculation with bladder cancer cells,Rat bladder cancer cells (AY-27 cell line) were inoculated intravesically into syngeneic female Fischer rats. The bladder was analyzed by histology and Affymetrix GeneChips and compared to bladders from sham operated and normal rats.,format-efo; format-obo; format-prov; lifesciences; lod; no-proprietary-vocab; provenance-metadata; published-by-third-party,health,,,,
1493,bioportal-tmo,https://lod-cloud.net/dataset/bioportal-tmo,Translational Medicine Ontology,This project focuses on the development of a high level patient-centric ontology for the pharmaceutical industry. The ontology should enable silos in discovery research  hypothesis management  experimental studies  compounds  formulation  drug development  market size  competitive data  population data  etc. to be brought together. This would enable scientists to answer new questions  and to answer existing scientific questions more quickly. This will help pharmaceutical companies to model patient-centric information  which is essential for the tailoring of drugs  and for early detection of compounds that may have sub-optimal safety profiles. The ontology should link to existing publicly available domain ontologies.,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,medicine in the title,,,
1545,transparency-linked-data,https://lod-cloud.net/dataset/transparency-linked-data,Transparency International Linked Data,Transparency International data published using the Linked Data design principles. It contains Corruption Perceptions Index and Sources data.,corruption; corruption-perception-index; country-codes; deref-vocab; format-dcterms; format-geo; format-qb; format-rdf; format-sdmx; format-skos; government; indicators; insurance; international; license-metadata; linked-data; lod; lodcloud; lodcloud-diagram-2014-08-30; lodcloud.candidate; population; projects; provenance-metadata; published-by-third-party; social-development; statistics; vocab-mappings; void-sparql-endpoint; world; world-bank,not classified - government,,,,
457,transport-data-gov-uk,https://lod-cloud.net/dataset/transport-data-gov-uk,transport.data.gov.uk,Transport-related linked data from data.gov.uk.    * Namespace for roads  * Namespace for stations  * Namespace for airports  * Road traffic statistics (SCOVO),airports; broken_link; bus-stops; country-uk; deref-vocab; format-dc; format-foaf; format-geo; format-skos; government; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; motorways; naptan; no-license-metadata; no-provenance-metadata; no-vocab-mappings; ports; published-by-producer; roads; stations; traffic; transport; uk; ukgov,not classified - geography,,,,
1420,racai-llod-romanian-wordnet-ttl0000018c64b46845,https://lod-cloud.net/dataset/racai-llod-romanian-wordnet-ttl,Turtle-RDF Romanian Wordnet,Romanian Wordnet in Turtle-RDF format,Romanian; wordnet; Turtle,linguistic,wordnet in the title,,,
1255,twarql,https://lod-cloud.net/dataset/twarql,Twarql,Twarql encodes information from microblog posts as Linked Open Data in order to enable flexibility for those interested in collectively analyzing microblog data for sensemaking. Our approach can be summarized as follows:    * extract content (e.g. entity mentions  hashtags and URLs) from microposts streamed from Twitter;  * encode content in RDF using shared and well-known vocabularies (FOAF  SIOC  MOAT  etc.);  * enable structured querying of microposts with SPARQL;  enable subscription to a stream of microposts that match a given query; and  * enable scalable real-time delivery of streamed but annotated data using sparqlPuSH.    This dataset is an example created for a brand tracking scenario involving the Apple IPad.,deref-vocab; format-rdf; format-xhtml; geographic; lod; lodcloud-diagram-2011-09-19; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-third-party,not classified,,,,
1391,twc-data-gov,https://lod-cloud.net/dataset/twc-data-gov,TWC Data-gov,duplicate of package:twc-logd,ckanupload.esw.200910; energy; environment; format-rdf; government; housing; labour; library; linkeddata; medical; meta.duplicate; population; rdf; statistics,not classified - government,,,,
634,twc-opendap,https://lod-cloud.net/dataset/twc-opendap,twc-opendap,Linked Data Provenance for OPeNDAP data processing.,deref-vocab; format-bibo; format-bte; format-con; format-conv; format-datafaqs; format-dbpedia; format-dc; format-dcat; format-doap; format-foaf; format-formats; format-irw; format-nif; format-oboro; format-opm; format-ov; format-owl; format-pml; format-pmlj; format-pmlp; format-pronom; format-prov; format-rdf; format-rdfs; format-schema; format-sd; format-sio; format-skos; format-tag; format-vann; format-void; format-vsr; linked-data; lod; prizms; provenance; provenance-metadata; vocab-mappings,not classified,,,,
1016,twc-logd,https://lod-cloud.net/dataset/twc-logd,TWC: Linking Open Government Data,The Tetherless World Constellation (TWC) at Rensselaer Polytechnic Institute (RPI) maintains Linked Open Government Data (LOGD)  an RDF version of the datasets published by package:data-gov and other government-related sources.    LOGD replaces the old TWC Data-gov Corpus published in May 2010.,country-us; deref-vocab; format-rdf; government; lod; lodcloud-diagram-2011-09-19; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-third-party,not classified - government,,,,
242,typepad,https://lod-cloud.net/dataset/typepad,typepad,user and blog data,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-admin; format-bio; format-content; format-dcterm; format-foaf; format-rdf; format-rdfs; format-rss; lodcloud-diagram-2014-08-30; usergeneratedcontent,not classified,empty and inaccessible,,,
1475,LEGIJA_STRANACA,https://lod-cloud.net/dataset/LEGIJA_STRANACA,U ime Legije,Au nom Legion Etrangere,Numbers,not classified,"unclear from title, abstract, keywords. inaccessible resource",,,
1540,sec-rdfabout0000018a5646dc26,https://lod-cloud.net/dataset/sec-rdfabout,U.S. Securities and Exchange Commission Corporate Ownership RDF Data (rdfabout),Data exposed: corporate ownership    Size of dump and data set: 1.8 million triples    Notes: also found in the of SPARQL Endpoints,ckanupload.esw.200910; format-foaf; format-rdf; format-vcard; government; linkeddata; lod; lodcloud-diagram-2011-09-19; no-deref-vocab; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-third-party; rdf; size-large,not classified,,,,
1557,bioportal-uberon,https://lod-cloud.net/dataset/bioportal-uberon,Uber anatomy ontology,Uberon is a multi-species anatomy ontology created to facilitate comparison of phenotypes across multiple species  and for GO cross-products. Each uberon class is the superclass of all the classes stated as xrefs. The deployed version of uberon is generated from the editors version by stripping out external links and materializing inferred links via the oboedit reasoner.,biomedicine; bioportal; format-obo; format-rdf; lod; ontology; published-by-third-party,health,anatomy cited in title and abstract,,,
118,uberblic,https://lod-cloud.net/dataset/uberblic,Uberblic.org,### SPARQL access    According to [this page](http://uberblic.org/developers/apis/sparql/)  there should be a SPARQL endpoint at [this location](http://platform.uberblic.org/api/v1/sparql)  but it refuses any request with a 403 Not Authorized error.,crossdomain; format-rdf; format-rdfs; lod; lodcloud-diagram-2011-09-19; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; published-by-third-party,not classified,"unclear from title, abstract, keywords. inaccessible resource",,,
1137,UDante0000018b240b14a8,https://lod-cloud.net/dataset/UDante,UDante in LiLa,UD treebank  of Dante Alighieri’s Latin works linked to the LiLa Knowledge Base,Latin; Corpus; LLOD; LiLa; Dante,linguistic,is it related to CH?,,,yes
1506,Uganda-Disasters-rdf-data_,https://lod-cloud.net/dataset/Uganda-Disasters-rdf-data_,Uganda Disasters,A data set containing all disasters recorded to have occurred in Uganda. Created by GI members of Makerere University  Kampala  Uganda.,disaster; uganda; hazard; disaster data,not classified,disaster. related to geography or government,,,
268,rkb-explorer-jisc,https://lod-cloud.net/dataset/rkb-explorer-jisc,UK JISC (RKBExplorer),,deref-vocab; format-dc; format-rdf; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-vocab-mappings; provenance-metadata; publications; published-by-third-party; void-sparql-endpoint,not classified,"unclear from title, abstract, keywords. inaccessible resource",,,
1621,uk-legislation-api,https://lod-cloud.net/dataset/uk-legislation-api,UK Legislation,API access to UK primary and secondary legislation. The API provides access to legislation from the UK Statute Law Database and the OPSI website in HTML  XML and RDF formats. The data is not available for download as an entire set. See the documentation in the developer zone for further details.,country-uk; format-dc; format-frbr; format-metalex; format-rdf; format-rdfs; government; legislation; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; published-by-producer; statute-law-database; uk; ukgov,not classified - government,,,,
144,uk-postcodes,https://lod-cloud.net/dataset/uk-postcodes,UK Postcodes,Linked data for every UK Postcode.    ## License    Content is licensed under the [OS OpenData License](http://www.ordnancesurvey.co.uk/oswebsite/opendata/licence/index.html),country-uk; format-geo; format-owl; format-rdf; geographic; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; postcodes; published-by-third-party; uk,not classified - government/geography,,,,
39,umbel,https://lod-cloud.net/dataset/umbel,UMBEL (Upper Mapping and Binding Exchange Layer),A lightweight  reference structure of 28 000 subject concepts for the Web. UMBEL is jointly developed and maintained by [Structured Dynamics LLC](http://structureddynamics.com) and [Ontotext AD](http://www.ontotext.com/).    There is a total of 46 173 external data links.,broken_link; concepts; crossdomain; deref-vocab; format-foaf; format-lingvoj; format-owl; format-rdf; format-rdfs; format-skos; format-umbel; format-vann; format-vs; linked-data; linked-open-data; linkeddata; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-provenance-metadata; published-by-producer; reference-concepts; schemata; subjects; vocab-mappings,not classified,"unclear from title, abstract, keywords. inaccessible resource",,,
735,un-hazardous-numbers,https://lod-cloud.net/dataset/un-hazardous-numbers,UN Hazardous Materials Numbers,UN Numbers are categories of harzardous materials.  See http://en.wikipedia.org/wiki/UN_numbers for more details.,dc; deref-vocab; format-dc; format-owl; format-rdf; format-rdfs; government; license-metadata; lod; lodcloud.nolinks; lodcloud.unconnected; provenance-metadata; published-by-third-party,health,"unclear from title, abstract, keywords","unclear from title, abstract, keywords. we will check its content.",yes,
525,rkb-explorer-unlocode,https://lod-cloud.net/dataset/rkb-explorer-unlocode,UN/LOCODE (RKBExplorer),,deref-vocab; format-akt; format-akts; format-dc; format-rdf; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-vocab-mappings; provenance-metadata; publications; published-by-third-party; void-sparql-endpoint,not classified,"unclear from title, abstract, keywords. inaccessible resource",,,
1147,cz-czso-unemployment-rate,https://lod-cloud.net/dataset/cz-czso-unemployment-rate,Unemployment rate in regions of Czech republic,Data cube containing statistical data aboutunemployment rate in regions of Czech republic according to Czech Statistical Office.,czech; czech-republic; format-dcterms; format-qb; format-sdmx; format-skos; government; license-metadata; lod; no-deref-vocab; provenance-metadata; published-by-third-party; vocab-mappings,not classified - government,,,,
210,uis-linked-data,https://lod-cloud.net/dataset/uis-linked-data,UNESCO Institute for Statistics (UIS) Linked Data,UIS  data and metadata,UN; communication; country-codes; demographics; economic; economics; education; europe; films; format-dcterms; format-prov; format-qb; format-rdf; format-sdmx; format-skos; government; heritage; indicators; international; license-metadata; linked-data; lod; lodcloud; lodcloud.candidate; no-proprietary-vocab; projects; provenance-metadata; published-by-third-; published-by-third-party; science and technology; statistics; united nations; vocab-mappings; void-sparql-endpoint; world,not classified,unesco mentioned in the title. unclear if the content is related to the ch. inaccessible resource,inaccessible resource,yes,
420,ufo,https://lod-cloud.net/dataset/ufo,Unified Foundational Ontology,This dataset contains Unified Foundational Ontology (UFO)  a top-level ontology biased towards conceptual modeling support.  The ontology is represented in OWL.,Unified Foundational Ontology; UFO; OntoUML,not classified,"unclear from the title, abstract, keywords",,,
1505,UniProt,https://lod-cloud.net/dataset/UniProt,UniProt,The Universal Protein Resource (UniProt) is a comprehensive resource for protein sequence and annotation data. The UniProt databases are the UniProt Knowledgebase (UniProtKB)  the UniProt Reference Clusters (UniRef)  and the UniProt Archive (UniParc). The UniProt consortium and host institutions EMBL-EBI  SIB and PIR are committed to the long-term preservation of the UniProt databases.,protein; uniprot; function; biology,health,proteins in the abstract,,,
1549,uniprot,https://lod-cloud.net/dataset/uniprot,UniProt,### About    Data exposed: a large life sciences data set about proteins and their function.    ### Openness    Not open. [Copyright page](ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/rdf/README) states:    Copyright 2007-2012 UniProt Consortium. We have chosen to apply the Creative Commons Attribution-NoDerivs License (http://creativecommons.org/licenses/by-nd/3.0/) to all copyrightable parts (http://sciencecommons.org/) of our databases. This means that you are free to copy  distribute  display and make commercial use of these databases  provided you give us credit. However  if you intend to distribute a modified version of one of our databases  you must ask us for permission first. All databases and documents in the UniProt FTP directory may be copied and redistributed freely  without advance permission  provided that this copyright statement is reproduced with each copy.,deref-vocab; format-rdf; format-uniprot; lifesciences; linkeddata; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; lodcloud.nolinks; published-by-producer,health,proteins in the abstract,,,
1300,uniprot-metadata,https://lod-cloud.net/dataset/uniprot-metadata,uniprot-metadata,,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-dcterm; format-owl; format-rdf; format-rdfs; format-skos; lifesciences; lodcloud-diagram-2014-08-30,health,inherit from other uniprot datasets,,,
1467,uniprotkb,https://lod-cloud.net/dataset/uniprotkb,UniProtKB,UniProtKB is the central hub for the collection of functional information on proteins  with accurate  consistent and rich annotation. In addition to capturing the core data mandatory for each UniProtKB entry (mainly  the amino acid sequence  protein name or description  taxonomic data and citation information)  as much annotation information as possible is added. This includes widely accepted biological ontologies  classifications and cross-references  and clear indications of the quality of annotation in the form of evidence attribution of experimental and computational data.,format-rdf; lifesciences; lod; lodcloud-diagram-2014-08-30; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; uniprot,health,proteins in the abstract,,,
187,bioportal-uo,https://lod-cloud.net/dataset/bioportal-uo,Units of measurement,Metrical units for use in conjunction with PATO,biomedicine; bioportal; format-obo; format-rdf; lod; ontology; published-by-third-party,health,,,yes,
1612,bioportal-unitsontology,https://lod-cloud.net/dataset/bioportal-unitsontology,Units Ontology,A small ontology for the units of measurement developed during the development of the Sleep Domain Ontology (SDO). It supports the use of SDO within the PhysioMIMI application.,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,,,yes,
1102,universal-dependencies-treebank-ancient-greek,https://lod-cloud.net/dataset/universal-dependencies-treebank-ancient-greek,Universal Dependencies Treebank Ancient_Greek,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Ancient_Greek treebank.,corpus; linguistics; lod,linguistic,,,,
665,universal-dependencies-treebank-ancient-greek-proiel,https://lod-cloud.net/dataset/universal-dependencies-treebank-ancient-greek-proiel,Universal Dependencies Treebank Ancient_Greek-PROIEL,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Ancient_Greek-PROIEL treebank.,corpus; linguistics; lod,linguistic,,,,
1409,universal-dependencies-treebank-arabic,https://lod-cloud.net/dataset/universal-dependencies-treebank-arabic,Universal Dependencies Treebank Arabic,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Arabic treebank.,corpus; linguistics; lod,linguistic,,,,
